subject_folder,parent_folder,relative_file,clip_name,label_guess,fps,num_frames,duration_s,gender,poses_shape,trans_shape,betas_shape,dmpls_shape,keys,error
05,05,05/05_20_poses.npz,05_20_poses,,120.0,1095,9.125,female,"[1095, 156]","[1095, 3]",[16],"[1095, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
06,06,06/06_01_poses.npz,06_01_poses,,120.0,494,4.116666666666666,male,"[494, 156]","[494, 3]",[16],"[494, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
06,06,06/06_03_poses.npz,06_03_poses,,120.0,527,4.391666666666667,male,"[527, 156]","[527, 3]",[16],"[527, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
06,06,06/06_04_poses.npz,06_04_poses,,120.0,396,3.3,male,"[396, 156]","[396, 3]",[16],"[396, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
06,06,06/06_05_poses.npz,06_05_poses,,120.0,385,3.2083333333333335,male,"[385, 156]","[385, 3]",[16],"[385, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
06,06,06/06_06_poses.npz,06_06_poses,,120.0,402,3.35,male,"[402, 156]","[402, 3]",[16],"[402, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
06,06,06/06_07_poses.npz,06_07_poses,,120.0,576,4.8,male,"[576, 156]","[576, 3]",[16],"[576, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
06,06,06/06_08_poses.npz,06_08_poses,,120.0,342,2.85,male,"[342, 156]","[342, 3]",[16],"[342, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
06,06,06/06_09_poses.npz,06_09_poses,,120.0,301,2.5083333333333333,male,"[301, 156]","[301, 3]",[16],"[301, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
06,06,06/06_10_poses.npz,06_10_poses,,120.0,1113,9.275,male,"[1113, 156]","[1113, 3]",[16],"[1113, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
06,06,06/06_11_poses.npz,06_11_poses,,120.0,1146,9.55,male,"[1146, 156]","[1146, 3]",[16],"[1146, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
06,06,06/06_12_poses.npz,06_12_poses,,120.0,1222,10.183333333333334,male,"[1222, 156]","[1222, 3]",[16],"[1222, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
06,06,06/06_13_poses.npz,06_13_poses,,120.0,4905,40.875,male,"[4905, 156]","[4905, 3]",[16],"[4905, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
06,06,06/06_14_poses.npz,06_14_poses,,120.0,479,3.9916666666666667,male,"[479, 156]","[479, 3]",[16],"[479, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
06,06,06/06_15_poses.npz,06_15_poses,,120.0,545,4.541666666666667,male,"[545, 156]","[545, 3]",[16],"[545, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
07,07,07/07_01_poses.npz,07_01_poses,,120.0,316,2.6333333333333333,male,"[316, 156]","[316, 3]",[16],"[316, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
07,07,07/07_02_poses.npz,07_02_poses,,120.0,329,2.7416666666666667,male,"[329, 156]","[329, 3]",[16],"[329, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
07,07,07/07_03_poses.npz,07_03_poses,,120.0,415,3.4583333333333335,male,"[415, 156]","[415, 3]",[16],"[415, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
07,07,07/07_04_poses.npz,07_04_poses,,120.0,449,3.7416666666666667,male,"[449, 156]","[449, 3]",[16],"[449, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
07,07,07/07_05_poses.npz,07_05_poses,,120.0,517,4.308333333333334,male,"[517, 156]","[517, 3]",[16],"[517, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
07,07,07/07_06_poses.npz,07_06_poses,,120.0,417,3.475,male,"[417, 156]","[417, 3]",[16],"[417, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
07,07,07/07_07_poses.npz,07_07_poses,,120.0,379,3.158333333333333,male,"[379, 156]","[379, 3]",[16],"[379, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
07,07,07/07_08_poses.npz,07_08_poses,,120.0,362,3.0166666666666666,male,"[362, 156]","[362, 3]",[16],"[362, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
07,07,07/07_09_poses.npz,07_09_poses,,120.0,306,2.55,male,"[306, 156]","[306, 3]",[16],"[306, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
07,07,07/07_10_poses.npz,07_10_poses,,120.0,301,2.5083333333333333,male,"[301, 156]","[301, 3]",[16],"[301, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
07,07,07/07_11_poses.npz,07_11_poses,,120.0,315,2.625,male,"[315, 156]","[315, 3]",[16],"[315, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
07,07,07/07_12_poses.npz,07_12_poses,,120.0,263,2.191666666666667,male,"[263, 156]","[263, 3]",[16],"[263, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
08,08,08/08_01_poses.npz,08_01_poses,,120.0,277,2.308333333333333,male,"[277, 156]","[277, 3]",[16],"[277, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
08,08,08/08_02_poses.npz,08_02_poses,,120.0,309,2.575,male,"[309, 156]","[309, 3]",[16],"[309, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
08,08,08/08_03_poses.npz,08_03_poses,,120.0,353,2.941666666666667,male,"[353, 156]","[353, 3]",[16],"[353, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
08,08,08/08_04_poses.npz,08_04_poses,,120.0,484,4.033333333333333,male,"[484, 156]","[484, 3]",[16],"[484, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
08,08,08/08_05_poses.npz,08_05_poses,,120.0,298,2.4833333333333334,male,"[298, 156]","[298, 3]",[16],"[298, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
08,08,08/08_06_poses.npz,08_06_poses,,120.0,296,2.466666666666667,male,"[296, 156]","[296, 3]",[16],"[296, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
08,08,08/08_07_poses.npz,08_07_poses,,120.0,302,2.5166666666666666,male,"[302, 156]","[302, 3]",[16],"[302, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
08,08,08/08_08_poses.npz,08_08_poses,,120.0,283,2.3583333333333334,male,"[283, 156]","[283, 3]",[16],"[283, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
08,08,08/08_09_poses.npz,08_09_poses,,120.0,293,2.441666666666667,male,"[293, 156]","[293, 3]",[16],"[293, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
08,08,08/08_11_poses.npz,08_11_poses,,120.0,375,3.125,male,"[375, 156]","[375, 3]",[16],"[375, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
09,09,09/09_01_poses.npz,09_01_poses,,120.0,148,1.2333333333333334,male,"[148, 156]","[148, 3]",[16],"[148, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
09,09,09/09_02_poses.npz,09_02_poses,,120.0,130,1.0833333333333333,male,"[130, 156]","[130, 3]",[16],"[130, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
09,09,09/09_03_poses.npz,09_03_poses,,120.0,128,1.0666666666666667,male,"[128, 156]","[128, 3]",[16],"[128, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
09,09,09/09_04_poses.npz,09_04_poses,,120.0,137,1.1416666666666666,male,"[137, 156]","[137, 3]",[16],"[137, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
09,09,09/09_05_poses.npz,09_05_poses,,120.0,143,1.1916666666666667,male,"[143, 156]","[143, 3]",[16],"[143, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
09,09,09/09_06_poses.npz,09_06_poses,,120.0,141,1.175,male,"[141, 156]","[141, 3]",[16],"[141, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
09,09,09/09_07_poses.npz,09_07_poses,,120.0,138,1.15,male,"[138, 156]","[138, 3]",[16],"[138, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
09,09,09/09_08_poses.npz,09_08_poses,,120.0,128,1.0666666666666667,male,"[128, 156]","[128, 3]",[16],"[128, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
09,09,09/09_09_poses.npz,09_09_poses,,120.0,152,1.2666666666666666,male,"[152, 156]","[152, 3]",[16],"[152, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
09,09,09/09_10_poses.npz,09_10_poses,,120.0,132,1.1,male,"[132, 156]","[132, 3]",[16],"[132, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
09,09,09/09_11_poses.npz,09_11_poses,,120.0,165,1.375,male,"[165, 156]","[165, 3]",[16],"[165, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
09,09,09/09_12_poses.npz,09_12_poses,,120.0,1918,15.983333333333333,male,"[1918, 156]","[1918, 3]",[16],"[1918, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
10,10,10/10_01_poses.npz,10_01_poses,,120.0,801,6.675,male,"[801, 156]","[801, 3]",[16],"[801, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
10,10,10/10_02_poses.npz,10_02_poses,,120.0,590,4.916666666666667,male,"[590, 156]","[590, 3]",[16],"[590, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
10,10,10/10_03_poses.npz,10_03_poses,,120.0,362,3.0166666666666666,male,"[362, 156]","[362, 3]",[16],"[362, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
10,10,10/10_04_poses.npz,10_04_poses,,120.0,549,4.575,male,"[549, 156]","[549, 3]",[16],"[549, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
10,10,10/10_05_poses.npz,10_05_poses,,120.0,436,3.6333333333333333,male,"[436, 156]","[436, 3]",[16],"[436, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_01_poses.npz,102_01_poses,,120.0,277,2.308333333333333,male,"[277, 156]","[277, 3]",[16],"[277, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_02_poses.npz,102_02_poses,,120.0,174,1.45,male,"[174, 156]","[174, 3]",[16],"[174, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_04_poses.npz,102_04_poses,,120.0,167,1.3916666666666666,male,"[167, 156]","[167, 3]",[16],"[167, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_05_poses.npz,102_05_poses,,120.0,109,0.9083333333333333,male,"[109, 156]","[109, 3]",[16],"[109, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_06_poses.npz,102_06_poses,,120.0,141,1.175,male,"[141, 156]","[141, 3]",[16],"[141, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_07_poses.npz,102_07_poses,,120.0,112,0.9333333333333333,male,"[112, 156]","[112, 3]",[16],"[112, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_08_poses.npz,102_08_poses,,120.0,140,1.1666666666666667,male,"[140, 156]","[140, 3]",[16],"[140, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_09_poses.npz,102_09_poses,,120.0,46,0.38333333333333336,male,"[46, 156]","[46, 3]",[16],"[46, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_10_poses.npz,102_10_poses,,120.0,97,0.8083333333333333,male,"[97, 156]","[97, 3]",[16],"[97, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_11_poses.npz,102_11_poses,,120.0,174,1.45,male,"[174, 156]","[174, 3]",[16],"[174, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_12_poses.npz,102_12_poses,,120.0,171,1.425,male,"[171, 156]","[171, 3]",[16],"[171, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_13_poses.npz,102_13_poses,,120.0,152,1.2666666666666666,male,"[152, 156]","[152, 3]",[16],"[152, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_14_poses.npz,102_14_poses,,120.0,196,1.6333333333333333,male,"[196, 156]","[196, 3]",[16],"[196, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_16_poses.npz,102_16_poses,,120.0,213,1.775,male,"[213, 156]","[213, 3]",[16],"[213, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_17_poses.npz,102_17_poses,,120.0,176,1.4666666666666666,male,"[176, 156]","[176, 3]",[16],"[176, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_18_poses.npz,102_18_poses,,120.0,230,1.9166666666666667,male,"[230, 156]","[230, 3]",[16],"[230, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_19_poses.npz,102_19_poses,,120.0,226,1.8833333333333333,male,"[226, 156]","[226, 3]",[16],"[226, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_20_poses.npz,102_20_poses,,120.0,606,5.05,male,"[606, 156]","[606, 3]",[16],"[606, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_21_poses.npz,102_21_poses,,120.0,519,4.325,male,"[519, 156]","[519, 3]",[16],"[519, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_22_poses.npz,102_22_poses,,120.0,246,2.05,male,"[246, 156]","[246, 3]",[16],"[246, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_23_poses.npz,102_23_poses,,120.0,356,2.966666666666667,male,"[356, 156]","[356, 3]",[16],"[356, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_24_poses.npz,102_24_poses,,120.0,326,2.716666666666667,male,"[326, 156]","[326, 3]",[16],"[326, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_25_poses.npz,102_25_poses,,120.0,296,2.466666666666667,male,"[296, 156]","[296, 3]",[16],"[296, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_26_poses.npz,102_26_poses,,120.0,448,3.7333333333333334,male,"[448, 156]","[448, 3]",[16],"[448, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_27_poses.npz,102_27_poses,,120.0,171,1.425,male,"[171, 156]","[171, 3]",[16],"[171, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_28_poses.npz,102_28_poses,,120.0,703,5.858333333333333,male,"[703, 156]","[703, 3]",[16],"[703, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_29_poses.npz,102_29_poses,,120.0,798,6.65,male,"[798, 156]","[798, 3]",[16],"[798, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_30_poses.npz,102_30_poses,,120.0,214,1.7833333333333334,male,"[214, 156]","[214, 3]",[16],"[214, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_31_poses.npz,102_31_poses,,120.0,229,1.9083333333333334,male,"[229, 156]","[229, 3]",[16],"[229, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_32_poses.npz,102_32_poses,,120.0,305,2.5416666666666665,male,"[305, 156]","[305, 3]",[16],"[305, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
102,102,102/102_33_poses.npz,102_33_poses,,120.0,220,1.8333333333333333,male,"[220, 156]","[220, 3]",[16],"[220, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
103,103,103/103_01_poses.npz,103_01_poses,,60.0,21,0.35,male,"[21, 156]","[21, 3]",[16],"[21, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
103,103,103/103_02_poses.npz,103_02_poses,,60.0,1492,24.866666666666667,male,"[1492, 156]","[1492, 3]",[16],"[1492, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
103,103,103/103_03_poses.npz,103_03_poses,,60.0,442,7.366666666666666,male,"[442, 156]","[442, 3]",[16],"[442, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
103,103,103/103_04_poses.npz,103_04_poses,,60.0,506,8.433333333333334,male,"[506, 156]","[506, 3]",[16],"[506, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
103,103,103/103_05_poses.npz,103_05_poses,,60.0,546,9.1,male,"[546, 156]","[546, 3]",[16],"[546, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
103,103,103/103_06_poses.npz,103_06_poses,,60.0,402,6.7,male,"[402, 156]","[402, 3]",[16],"[402, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
103,103,103/103_07_poses.npz,103_07_poses,,60.0,236,3.933333333333333,male,"[236, 156]","[236, 3]",[16],"[236, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
103,103,103/103_08_poses.npz,103_08_poses,,60.0,557,9.283333333333333,male,"[557, 156]","[557, 3]",[16],"[557, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
105,105,105/105_01_poses.npz,105_01_poses,,120.0,2737,22.808333333333334,female,"[2737, 156]","[2737, 3]",[16],"[2737, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
105,105,105/105_02_poses.npz,105_02_poses,,120.0,1748,14.566666666666666,female,"[1748, 156]","[1748, 3]",[16],"[1748, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
105,105,105/105_03_poses.npz,105_03_poses,,120.0,1865,15.541666666666666,female,"[1865, 156]","[1865, 3]",[16],"[1865, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
105,105,105/105_04_poses.npz,105_04_poses,,120.0,2162,18.016666666666666,female,"[2162, 156]","[2162, 3]",[16],"[2162, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
105,105,105/105_05_poses.npz,105_05_poses,,120.0,2700,22.5,female,"[2700, 156]","[2700, 3]",[16],"[2700, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
105,105,105/105_06_poses.npz,105_06_poses,,120.0,136,1.1333333333333333,female,"[136, 156]","[136, 3]",[16],"[136, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
105,105,105/105_07_poses.npz,105_07_poses,,120.0,2582,21.516666666666666,female,"[2582, 156]","[2582, 3]",[16],"[2582, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
105,105,105/105_08_poses.npz,105_08_poses,,120.0,3972,33.1,female,"[3972, 156]","[3972, 3]",[16],"[3972, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
105,105,105/105_09_poses.npz,105_09_poses,,120.0,5402,45.016666666666666,female,"[5402, 156]","[5402, 3]",[16],"[5402, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
105,105,105/105_10_poses.npz,105_10_poses,,120.0,3175,26.458333333333332,female,"[3175, 156]","[3175, 3]",[16],"[3175, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
105,105,105/105_11_poses.npz,105_11_poses,,120.0,1863,15.525,female,"[1863, 156]","[1863, 3]",[16],"[1863, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
105,105,105/105_12_poses.npz,105_12_poses,,120.0,2222,18.516666666666666,female,"[2222, 156]","[2222, 3]",[16],"[2222, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
105,105,105/105_13_poses.npz,105_13_poses,,120.0,2960,24.666666666666668,female,"[2960, 156]","[2960, 3]",[16],"[2960, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
105,105,105/105_14_poses.npz,105_14_poses,,120.0,2769,23.075,female,"[2769, 156]","[2769, 3]",[16],"[2769, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
105,105,105/105_15_poses.npz,105_15_poses,,120.0,3090,25.75,female,"[3090, 156]","[3090, 3]",[16],"[3090, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
105,105,105/105_16_poses.npz,105_16_poses,,120.0,1892,15.766666666666667,female,"[1892, 156]","[1892, 3]",[16],"[1892, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
105,105,105/105_17_poses.npz,105_17_poses,,120.0,1520,12.666666666666666,female,"[1520, 156]","[1520, 3]",[16],"[1520, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
105,105,105/105_18_poses.npz,105_18_poses,,120.0,3363,28.025,female,"[3363, 156]","[3363, 3]",[16],"[3363, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
